avoids,escapes,percent avoid,avoid latency,escape latency,trial crossings,mouse,dayOnType,sex
5,25,0.16666666666666666,4.223999999999999,5.7303999999999995,30,109,7,Female
12,18,0.4,3.8658333333333332,6.922222222222222,33,35,5,Male
4,26,0.13333333333333333,3.57,6.613461538461539,37,105,3,Female
3,27,0.1,3.716666666666667,5.851851851851853,30,941,3,Male
16,14,0.5333333333333333,3.5650000000000004,5.577857142857143,46,40,6,Female
6,24,0.2,2.64,5.662916666666667,32,751,2,Female
8,22,0.26666666666666666,4.08125,6.473636363636363,38,37,7,Male
1,28,0.034482758620689655,3.12,6.721071428571428,39,45,2,Female
19,11,0.6333333333333333,1.7831578947368423,5.668181818181819,41,110,3,Female
24,6,0.8,3.004583333333333,6.138333333333333,32,751,6,Female
26,4,0.8666666666666667,2.866153846153846,6.2,43,751,7,Female
6,24,0.2,3.44,5.539999999999999,31,557,6,Male
7,23,0.23333333333333334,3.8500000000000005,5.872173913043478,34,111,1,Female
3,27,0.1,4.166666666666667,6.882222222222224,37,39,6,Male
16,14,0.5333333333333333,3.3656249999999996,5.496428571428571,37,36,6,Male
16,14,0.5333333333333333,2.474375,5.772142857142856,43,750,4,Female
7,23,0.23333333333333334,2.698571428571429,6.513043478260869,41,45,4,Female
20,10,0.6666666666666666,1.8705000000000003,5.353,37,110,5,Female
9,21,0.3,3.7677777777777783,6.547142857142857,36,35,4,Male
12,18,0.4,3.429166666666666,5.448333333333334,30,556,4,Male
21,9,0.7,3.236666666666667,5.762222222222222,40,36,3,Male
15,15,0.5,3.9193333333333333,6.185333333333333,31,35,6,Male
13,17,0.43333333333333335,3.968461538461538,5.52,31,117,6,Male
22,8,0.7333333333333333,3.017272727272727,5.585,39,752,6,Female
7,23,0.23333333333333334,3.632857142857143,6.120434782608697,31,37,3,Male
8,22,0.26666666666666666,2.7512499999999998,5.547272727272726,38,750,3,Female
28,2,0.9333333333333333,2.7678571428571432,5.125,36,843,5,Female
4,26,0.13333333333333333,4.37,5.596153846153845,32,845,6,Female
1,29,0.03333333333333333,4.31,6.903448275862069,32,37,1,Male
12,18,0.4,3.395,5.703888888888889,30,845,7,Female
0,30,0.0,,5.795333333333333,33,109,1,Female
23,7,0.7666666666666667,3.702173913043478,5.511428571428572,30,751,5,Female
