session_idx,mouse,group,sex,day,date,n_irts,pi_0,pi_1,pi_2,pi_3,pi_4
686,499-1,stress,M,4,220730,786,0.2895252,0.14984412,0.1759057,0.37538108,0.009343946
687,644-L,stress,M,2,240312,306,0.07353188,9.999993e-07,0.62248933,9.999993e-07,0.30397674
688,500-2,stress,F,9,220805,976,0.18560223,0.14609767,0.43377757,0.22192512,0.012597399
689,644-L,stress,M,6,240318,309,0.076928645,9.999995e-07,0.5730856,0.0043151136,0.34566963
690,821-0,naive,M,1,250901,143,0.017420786,0.34030667,0.14821894,9.999998e-07,0.49405253
691,645-L,naive,M,2,240229,1311,0.22503072,0.32943305,0.33549818,0.11003697,9.999997e-07
692,728-RL,naive,M,1,241120,1040,0.13594627,0.38391787,0.17105265,0.30897176,0.00011145102
693,821-L,naive,M,3,250901,363,0.16886786,0.02625109,0.33786494,0.21960399,0.2474121
694,644-L,stress,M,1,240305,233,0.051234532,0.017950375,0.5544593,9.999999e-07,0.37635478
695,728-0,naive,M,8,241203,174,0.033570535,0.038193423,0.105458,0.33397034,0.4888077
696,647-L,stress,M,1,240228,546,0.12330358,0.46893367,0.15041946,0.093156,0.16418728
697,728-L,naive,M,10,241205,143,0.04197821,9.999997e-07,0.07750823,9.999997e-07,0.8805116
698,501-2,stress,F,10,220807,1284,0.48299778,0.12170015,0.20611121,0.1891899,9.999998e-07
699,819-R,stress,M,11,250911,535,0.20238437,0.3154852,0.023800576,0.33039552,0.12793435
700,822-L,naive,F,1,250828,312,0.03450192,0.07686219,0.36747995,0.13776653,0.3833894
701,644-0,naive,M,14,240322,702,0.28001577,0.26169375,0.18973446,0.17608637,0.092469655
702,499-2,stress,M,9,220806,1041,0.16258518,0.4470713,0.1852225,0.15997,0.04515099
703,722-RL,naive,F,13,241207,625,0.068920605,0.3632333,0.21475913,0.3109432,0.04214378
704,725-R,stress,F,12,241210,281,0.028889867,0.12006558,0.07919516,0.4639621,0.3078873
705,500-3,stress,F,5,220801,553,0.24024922,0.17161223,0.054007273,0.48104748,0.053083815
706,723-0,stress,M,3,241122,206,0.014475923,0.076649144,0.41246203,0.06318555,0.43322736
707,491-1,naive,F,6,220803,585,0.21762738,0.32174474,0.06500803,0.33601362,0.059606142
708,647-0,naive,M,4,240306,805,0.1578769,0.145942,0.58128726,9.999999e-07,0.11489285
709,648-R,stress,F,7,240312,602,0.012142877,0.052487712,0.3610124,0.5743439,1.3141545e-05
710,489-2,naive,M,2,220727,498,0.29589924,0.16354123,0.105485,0.27586126,0.15921327
711,647-L,stress,M,8,240313,446,0.116648935,0.18142638,0.028109526,0.56894195,0.10487323
712,578-2,stress,F,2,230706,671,0.26126567,0.28729552,0.22173426,0.16600856,0.06369607
713,722-L,naive,F,11,241205,977,0.14677007,0.3153145,0.40346673,0.063477196,0.07097156
714,725-0,stress,M,14,241210,202,0.12665722,0.20278776,0.02093551,0.1572475,0.49237204
715,501-1,stress,F,7,220803,288,0.08037182,0.044094812,0.09047911,0.4518686,0.33318567
716,723-RL,stress,M,6,241128,563,0.021563198,0.2996361,0.13740264,0.49671477,0.044683285
717,723-L,stress,M,3,241122,688,0.002704329,0.4823209,0.1388646,0.31132793,0.06478224
718,645-0,naive,M,10,240317,174,0.14155838,0.18375091,0.16652837,0.021338614,0.48682374
719,649-R,naive,F,7,240312,274,0.011951075,0.10196194,0.07423207,0.4686412,0.3432137
720,580.1-1,naive,M,5,230712,300,0.060888994,0.23036191,0.11835069,0.26338136,0.32701704
721,580.1-1,naive,M,7,230714,1034,0.056343406,0.5075935,0.25381994,0.14958464,0.0326585
722,578-2,stress,F,11,230718,1387,0.3760092,0.3465699,0.1309757,0.13116147,0.015283647
723,500-3,stress,F,11,220807,336,0.21300615,0.042444382,0.18878278,0.16934147,0.3864252
724,820-R,stress,F,14,250918,392,0.14360058,0.098383516,0.11431263,0.45616597,0.1875373
725,644-0,naive,M,5,240311,435,0.011816317,0.43128368,0.021195292,0.3585227,0.17718199
726,820-R,stress,F,5,250908,199,0.19803165,0.11069695,0.047633972,0.2138595,0.42977795
727,645-R,naive,M,8,240313,1059,0.061790306,0.5222469,0.10034535,0.3156165,9.999995e-07
728,500-3,stress,F,9,220805,556,0.20623386,0.17359298,0.14518137,0.41056842,0.06442337
729,648-R,stress,F,1,240228,541,0.009422889,0.11368984,0.62917066,0.034265112,0.21345152
730,728-RL,naive,M,10,241205,417,0.019404344,0.32834262,0.04753264,0.48367947,0.12104091
731,722-L,naive,F,12,241206,225,0.14298727,0.1827518,0.21711789,0.052536316,0.40460673
732,728-0,naive,M,11,241207,522,0.04609017,0.23941368,0.2595785,0.35024738,0.1046703
733,648-0,stress,F,10,240317,125,0.024053352,9.999995e-07,0.07749435,0.10334056,0.7951108
734,648-0,stress,F,4,240306,510,0.09080758,0.22326243,0.328641,0.20025082,0.15703818
735,647-0,naive,M,14,240321,580,0.40196168,9.999998e-07,0.12747437,0.3970408,0.073522076
736,499-1,stress,M,10,220805,674,0.34463522,0.14340189,0.12037238,0.32124025,0.07035027
737,644-R,stress,M,8,240313,845,0.012315834,0.17444825,0.5440988,0.26913616,9.999999e-07
738,500-2,stress,F,1,220727,423,0.37450388,0.05580896,0.2335154,0.12976868,0.20640305
739,499-1,stress,M,12,220807,473,0.2599306,0.027020799,0.2757119,0.32035685,0.11697983
740,821-0,naive,M,10,250915,307,0.07645615,0.22715569,0.0503916,0.39225048,0.25374606
741,822-L,naive,F,6,250905,697,9.999998e-07,0.46315563,0.25435796,0.1799374,0.102547936
742,578.1-2,naive,F,12,230719,509,0.17198944,0.27457002,0.16674331,0.21274598,0.17395124
743,723-RL,stress,M,8,241130,223,0.018747428,0.22687246,0.17325737,0.31992182,0.261201
744,644-0,naive,M,4,240307,900,0.3593312,0.27838895,0.14105484,0.14401492,0.0772101
745,648-L,stress,F,8,240313,475,0.018035395,0.28521,0.11165638,0.47779378,0.107304424
746,728-L,naive,M,13,241209,392,0.11638607,0.021695534,9.999999e-07,0.8075902,0.054327197
747,500-1,stress,F,2,220728,469,0.5179455,9.999998e-07,0.097864516,0.20501983,0.17916906
748,822-L,naive,F,14,250917,254,9.999995e-07,0.16066256,0.151231,0.25288528,0.4352202
749,822-R,naive,F,5,250903,344,0.1674877,0.12903439,0.15618567,0.31283942,0.23445283
750,499-2,stress,M,5,220802,943,0.11076194,0.5464644,0.13815945,0.16380855,0.040805675
751,819-L,stress,M,14,250917,489,0.10049018,0.14121608,0.11815565,0.5930853,0.0470528
