,mouse,group,sesType,sex,pokeRate,inactiveRate,entryRate,P/E ratio,efficiency,rewardRate
113,728-0,naive,RI30,M,5.025893710519857,0.2291023337366282,4.5795534648021174,1.0525566826597372,0.21480582923765873,0.9890380051396899
114,728-0,naive,RI60,M,4.098861427381283,0.3665648430991391,4.073868369897251,0.9595927626297366,0.20278467528318772,0.6031657872813108
115,728-L,naive,RI30,M,11.971434736199555,0.16480538905272163,6.380267348986768,1.7614002622576455,0.12784150921055995,1.2599751965146504
116,728-L,naive,RI60,M,7.660596627040458,0.38493280736899826,6.314749819434806,1.2430841376622763,0.14101033648258524,0.8174690455016539
117,728-R,naive,RI30,M,8.917868706147756,0.5707447155848941,6.054454745114943,1.391508158993077,0.15457835463787267,1.1793682645486978
118,728-R,naive,RI60,M,8.101134241646179,0.5082052238368685,10.791096908532694,0.8478422169855265,0.13070248255751818,0.8267602441028102
119,728-RL,naive,RI30,M,11.234315996895997,0.46632639002718057,9.951191524143606,1.0982510837465824,0.13823268054190657,1.3848343457832355
120,728-RL,naive,RI60,M,7.997349700897975,0.6057566761994937,6.232779374054392,1.1688747128830932,0.16972955996209174,0.6870214836942623
121,819-L,stress,RI30,M,4.577120773676031,0.15027994001367617,5.490029860750789,0.8804338478950522,0.19868841275807822,0.8924595493473624
122,819-L,stress,RI60,M,8.421346972462029,0.1628231253808534,4.845458759649404,1.8101334990996385,0.10110222324653148,0.8365574466219583
123,819-R,stress,RI30,M,3.987890830137592,0.13109400432043475,3.750469218635973,1.124089765124345,0.19369519785561765,0.757518789030295
124,819-R,stress,RI60,M,14.688634401483233,0.31314872148861433,5.973603990633421,2.3734783357257956,0.08937190494987131,0.8190581168620399
125,820-0,stress,RI30,F,1.4954179394612608,0.08747570119411274,2.953346292696473,0.5229570264244718,0.34327685591370505,0.49153013051930017
126,820-0,stress,RI60,F,3.7949820246724477,0.03113062683389185,4.19566013977452,0.9289588524139462,0.2073127766359059,0.6362714792199996
127,820-R,stress,RI30,F,1.5120799777839489,0.22493751735628992,2.5034712579838936,0.632137649944377,0.37501855780302007,0.5415162454873645
128,820-R,stress,RI60,F,3.368295131694188,0.19225428833870933,2.3506290987546197,1.3241865549725444,0.23134233648047509,0.5575374361822572
129,821-0,naive,RI30,M,2.55762288253263,0.20827547903360177,4.407109136351013,0.5790420852258069,0.29351832257714844,0.6914745903915579
130,821-0,naive,RI60,M,4.597651883592832,0.6932691848647732,2.8841058951080543,1.6840719032069618,0.16107861395137396,0.6892759408485095
131,821-L,naive,RI30,M,4.607343357692452,0.46481843827338265,5.5123583777261125,0.8568100665139179,0.19297388793652082,0.8937266011853964
132,821-L,naive,RI60,M,7.355945430696301,0.47524911362370276,6.434565824512632,1.2131504262058423,0.1168727066689408,0.771215194671448
133,821-R,naive,RI30,M,2.1827270202721465,0.06664815329075258,4.03221327409053,0.552053320086107,0.27015493432702786,0.5748403221327409
134,821-R,naive,RI60,M,6.710475391894144,0.8975842276254292,4.669682537316722,1.624745295605622,0.11845383256318982,0.6983857913077278
135,822-0,naive,RI30,F,4.659187420907264,0.1200287078064834,6.210665267892835,0.6955535916118412,0.2651209325334067,1.0698490375728453
136,822-0,naive,RI60,F,9.920091119084715,0.11280749331834207,6.5933352515105845,1.491588975921751,0.10027674556799006,0.8713485671867134
137,822-L,naive,RI30,F,4.122919834389016,0.40083919740923973,4.754255424975327,0.8532809824672803,0.2530925003030178,0.9922441793764876
138,822-L,naive,RI60,F,4.992572093184178,0.2851255563634302,4.745424273907218,1.080844505196339,0.1785699499423615,0.7681800043036887
139,822-R,naive,RI30,F,8.912292332024267,0.7460764068189002,3.9783441220159546,2.2355507232088403,0.15062409887290293,1.260071011580071
140,822-R,naive,RI60,F,9.716806812903021,1.3019792748731607,4.079771430937177,2.595742419719248,0.09246653580841041,0.8461516304262281
